x_CNCS_para, u_arr_CNCS_para,bound_arr_CNCS_para, spacing_arr_CNCS_para
0.0000,0.0000,0.0000,1024.0000
0.0010,0.0000,0.0000,1024.0000
0.0020,0.0000,0.0000,1024.0000
0.0029,0.0000,0.0000,1024.0000
0.0039,0.0000,0.0000,1024.0000
0.0049,0.0000,0.0000,1024.0000
0.0059,0.0000,0.0000,1024.0000
0.0068,0.0000,0.0000,1024.0000
0.0078,0.0000,0.0000,1024.0000
0.0088,0.0000,0.0000,1024.0000
0.0098,0.0000,0.0000,1024.0000
0.0107,0.0000,0.0000,1024.0000
0.0117,0.0000,0.0000,1024.0000
0.0127,0.0000,0.0000,1024.0000
0.0137,0.0000,0.0000,1024.0000
0.0146,0.0000,0.0000,1024.0000
0.0156,0.0000,0.0000,1024.0000
0.0166,0.0000,0.0000,1024.0000
0.0176,0.0000,0.0000,1024.0000
0.0186,0.0000,0.0000,1024.0000
0.0195,0.0000,0.0000,1024.0000
0.0205,0.0000,0.0000,1024.0000
0.0215,0.0000,0.0000,1024.0000
0.0225,0.0000,0.0000,1024.0000
0.0234,0.0000,0.0000,1024.0000
0.0244,0.0000,0.0000,1024.0000
0.0254,0.0000,0.0000,1024.0000
0.0264,0.0000,0.0000,1024.0000
0.0273,0.0000,0.0000,1024.0000
0.0283,0.0000,0.0000,1024.0000
0.0293,0.0000,0.0000,1024.0000
0.0303,0.0000,0.0000,1024.0000
0.0312,0.0000,0.0000,1024.0000
0.0322,0.0000,0.0000,1024.0000
0.0332,0.0000,0.0000,1024.0000
0.0342,0.0000,0.0000,1024.0000
0.0352,0.0000,0.0000,1024.0000
0.0361,0.0000,0.0000,1024.0000
0.0371,0.0000,0.0000,1024.0000
0.0381,0.0000,0.0000,1024.0000
0.0391,0.0000,0.0000,1024.0000
0.0400,0.0000,0.0000,1024.0000
0.0410,0.0000,0.0000,1024.0000
0.0420,0.0000,0.0000,1024.0000
0.0430,0.0000,0.0000,1024.0000
0.0439,0.0000,0.0000,1024.0000
0.0449,0.0000,0.0000,1024.0000
0.0459,0.0000,0.0000,1024.0000
0.0469,0.0000,0.0000,1024.0000
0.0479,0.0000,0.0000,1024.0000
0.0488,0.0000,0.0000,1024.0000
0.0498,0.0000,0.0000,1024.0000
0.0508,0.0000,0.0000,1024.0000
0.0518,0.0000,0.0000,1024.0000
0.0527,0.0000,0.0000,1024.0000
0.0537,0.0000,0.0000,1024.0000
0.0547,0.0000,0.0000,1024.0000
0.0557,0.0000,0.0000,1024.0000
0.0566,0.0000,0.0000,1024.0000
0.0576,0.0000,0.0000,1024.0000
0.0586,0.0000,0.0000,1024.0000
0.0596,0.0000,0.0000,1024.0000
0.0605,0.0000,0.0000,1024.0000
0.0615,0.0000,0.0000,1024.0000
0.0625,0.0000,0.0000,1024.0000
0.0635,0.0000,0.0000,1024.0000
0.0645,0.0000,0.0000,1024.0000
0.0654,0.0000,0.0000,1024.0000
0.0664,0.0000,0.0000,1024.0000
0.0674,0.0000,0.0000,1024.0000
0.0684,0.0000,0.0000,1024.0000
0.0693,0.0000,0.0000,1024.0000
0.0703,0.0000,0.0000,1024.0000
0.0713,0.0000,0.0000,1024.0000
0.0723,0.0000,0.0000,1024.0000
0.0732,0.0000,0.0000,1024.0000
0.0742,0.0000,0.0000,1024.0000
0.0752,0.0000,0.0000,1024.0000
0.0762,0.0000,0.0000,1024.0000
0.0771,0.0000,0.0000,1024.0000
0.0781,0.0000,0.0000,1024.0000
0.0791,0.0000,0.0000,1024.0000
0.0801,0.0000,0.0000,1024.0000
0.0811,0.0000,0.0000,1024.0000
0.0820,0.0000,0.0000,1024.0000
0.0830,0.0000,0.0000,1024.0000
0.0840,0.0000,0.0000,1024.0000
0.0850,0.0000,0.0000,1024.0000
0.0859,0.0000,0.0000,1024.0000
0.0869,0.0000,0.0000,1024.0000
0.0879,0.0000,0.0000,1024.0000
0.0889,0.0000,0.0000,1024.0000
0.0898,0.0000,0.0000,1024.0000
0.0908,0.0000,0.0000,1024.0000
0.0918,0.0000,0.0000,1024.0000
0.0928,0.0000,0.0000,1024.0000
0.0938,0.0000,0.0000,1024.0000
0.0947,0.0000,0.0000,1024.0000
0.0957,0.0000,0.0000,1024.0000
0.0967,0.0000,0.0000,1024.0000
0.0977,0.0000,0.0000,1024.0000
0.0986,0.0000,0.0000,1024.0000
0.0996,0.0000,0.0000,1024.0000
0.1006,0.0000,0.0000,1024.0000
0.1016,0.0000,0.0000,1024.0000
0.1025,0.0000,0.0000,1024.0000
0.1035,0.0000,0.0000,1024.0000
0.1045,0.0000,0.0000,1024.0000
0.1055,0.0000,0.0000,1024.0000
0.1064,0.0000,0.0000,1024.0000
0.1074,0.0000,0.0000,1024.0000
0.1084,0.0000,0.0000,1024.0000
0.1094,0.0000,0.0000,1024.0000
0.1104,0.0000,0.0000,1024.0000
0.1113,0.0000,0.0000,1024.0000
0.1123,0.0000,0.0000,1024.0000
0.1133,0.0000,0.0000,1024.0000
0.1143,0.0000,0.0000,1024.0000
0.1152,0.0000,0.0000,1024.0000
0.1162,0.0000,0.0000,1024.0000
0.1172,0.0000,0.0000,1024.0000
0.1182,0.0000,0.0000,1024.0000
0.1191,0.0000,0.0000,1024.0000
0.1201,0.0000,0.0000,1024.0000
0.1211,0.0000,0.0000,1024.0000
0.1221,0.0000,0.0000,1024.0000
0.1230,0.0000,0.0000,1024.0000
0.1240,0.0000,0.0000,1024.0000
0.1250,0.0000,0.0000,1024.0000
0.1260,0.0000,0.0000,1024.0000
0.1270,0.0000,0.0000,1024.0000
0.1279,0.0000,0.0000,1024.0000
0.1289,0.0000,0.0000,1024.0000
0.1299,0.0000,0.0000,1024.0000
0.1309,0.0000,0.0000,1024.0000
0.1318,0.0000,0.0001,1024.0000
0.1328,0.0000,0.0001,1024.0000
0.1338,0.0000,0.0001,1024.0000
0.1348,0.0000,0.0001,1024.0000
0.1357,0.0000,0.0001,1024.0000
0.1367,0.0000,0.0002,1024.0000
0.1377,0.0000,0.0002,1024.0000
0.1387,0.0000,0.0002,1024.0000
0.1396,0.0000,0.0003,1024.0000
0.1406,0.0000,0.0004,1024.0000
0.1416,0.0000,0.0004,1024.0000
0.1426,0.0000,0.0005,1024.0000
0.1436,0.0000,0.0006,1024.0000
0.1445,0.0000,0.0008,1024.0000
0.1455,0.0000,0.0009,1024.0000
0.1465,0.0000,0.0011,1024.0000
0.1475,0.0000,0.0013,1024.0000
0.1484,0.0000,0.0015,1024.0000
0.1494,0.0000,0.0018,1024.0000
0.1504,0.0000,0.0021,1024.0000
0.1514,0.0000,0.0025,1024.0000
0.1523,0.0000,0.0029,1024.0000
0.1533,0.0001,0.0034,1024.0000
0.1543,0.0001,0.0040,1024.0000
0.1553,0.0001,0.0047,1024.0000
0.1562,0.0001,0.0055,1024.0000
0.1572,0.0001,0.0063,1024.0000
0.1582,0.0001,0.0073,1024.0000
0.1592,0.0002,0.0085,1024.0000
0.1602,0.0002,0.0098,1024.0000
0.1611,0.0003,0.0113,1024.0000
0.1621,0.0003,0.0129,1024.0000
0.1631,0.0004,0.0148,1024.0000
0.1641,0.0004,0.0169,1024.0000
0.1650,0.0005,0.0193,1024.0000
0.1660,0.0006,0.0219,1024.0000
0.1670,0.0007,0.0248,1024.0000
0.1680,0.0008,0.0280,1024.0000
0.1689,0.0010,0.0316,1024.0000
0.1699,0.0012,0.0356,1024.0000
0.1709,0.0014,0.0399,1024.0000
0.1719,0.0016,0.0446,1024.0000
0.1729,0.0019,0.0498,1024.0000
0.1738,0.0022,0.0554,1024.0000
0.1748,0.0026,0.0615,1024.0000
0.1758,0.0030,0.0680,1024.0000
0.1768,0.0034,0.0750,1024.0000
0.1777,0.0040,0.0825,1024.0000
0.1787,0.0046,0.0905,1024.0000
0.1797,0.0053,0.0990,1024.0000
0.1807,0.0061,0.1080,1024.0000
0.1816,0.0070,0.1173,1024.0000
0.1826,0.0081,0.1271,1024.0000
0.1836,0.0092,0.1373,1024.0000
0.1846,0.0105,0.1478,1024.0000
0.1855,0.0120,0.1585,1024.0000
0.1865,0.0136,0.1695,1024.0000
0.1875,0.0155,0.1805,1024.0000
0.1885,0.0176,0.1915,1024.0000
0.1895,0.0199,0.2024,1024.0000
0.1904,0.0224,0.2131,1024.0000
0.1914,0.0253,0.2234,1024.0000
0.1924,0.0284,0.2332,1024.0000
0.1934,0.0319,0.2423,1024.0000
0.1943,0.0357,0.2505,1024.0000
0.1953,0.0400,0.2577,1024.0000
0.1963,0.0446,0.2636,1024.0000
0.1973,0.0497,0.2681,1024.0000
0.1982,0.0553,0.2709,1024.0000
0.1992,0.0613,0.2719,1024.0000
0.2002,0.0679,0.2708,1024.0000
0.2012,0.0751,0.2674,1024.0000
0.2021,0.0829,0.2615,1024.0000
0.2031,0.0913,0.2529,1024.0000
0.2041,0.1003,0.2414,1024.0000
0.2051,0.1101,0.2269,1024.0000
0.2061,0.1205,0.2093,1024.0000
0.2070,0.1318,0.1883,1024.0000
0.2080,0.1437,0.1639,1024.0000
0.2090,0.1565,0.1361,1024.0000
0.2100,0.1701,0.1048,1024.0000
0.2109,0.1845,0.0701,1024.0000
0.2119,0.1997,0.0321,1024.0000
0.2129,0.2158,0.0110,1024.0000
0.2139,0.2327,0.0547,1024.0000
0.2148,0.2505,0.1023,1024.0000
0.2158,0.2691,0.1526,1024.0000
0.2168,0.2886,0.2054,1024.0000
0.2178,0.3088,0.2602,1024.0000
0.2188,0.3299,0.3167,1024.0000
0.2197,0.3518,0.3745,1024.0000
0.2207,0.3743,0.4330,1024.0000
0.2217,0.3976,0.4917,1024.0000
0.2227,0.4215,0.5500,1024.0000
0.2236,0.4460,0.6075,1024.0000
0.2246,0.4710,0.6633,1024.0000
0.2256,0.4964,0.7170,1024.0000
0.2266,0.5223,0.7678,1024.0000
0.2275,0.5484,0.8152,1024.0000
0.2285,0.5747,0.8584,1024.0000
0.2295,0.6012,0.8970,1024.0000
0.2305,0.6277,0.9302,1024.0000
0.2314,0.6541,0.9577,1024.0000
0.2324,0.6803,0.9787,1024.0000
0.2334,0.7062,0.9929,1024.0000
0.2344,0.7317,1.0000,1024.0000
0.2354,0.7567,0.9995,1024.0000
0.2363,0.7810,0.9913,1024.0000
0.2373,0.8046,0.9752,1024.0000
0.2383,0.8273,0.9511,1024.0000
0.2393,0.8491,0.9190,1024.0000
0.2402,0.8697,0.8791,1024.0000
0.2412,0.8892,0.8315,1024.0000
0.2422,0.9073,0.7766,1024.0000
0.2432,0.9241,0.7147,1024.0000
0.2441,0.9394,0.6463,1024.0000
0.2451,0.9531,0.5720,1024.0000
0.2461,0.9652,0.4924,1024.0000
0.2471,0.9755,0.4082,1024.0000
0.2480,0.9841,0.3202,1024.0000
0.2490,0.9909,0.2292,1024.0000
0.2500,0.9958,0.1361,1024.0000
0.2510,0.9989,0.0426,1024.0000
0.2520,1.0000,0.0551,1024.0000
0.2529,0.9992,0.1488,1024.0000
0.2539,0.9966,0.2416,1024.0000
0.2549,0.9920,0.3323,1024.0000
0.2559,0.9856,0.4198,1024.0000
0.2568,0.9773,0.5034,1024.0000
0.2578,0.9673,0.5824,1024.0000
0.2588,0.9556,0.6559,1024.0000
0.2598,0.9422,0.7234,1024.0000
0.2607,0.9272,0.7844,1024.0000
0.2617,0.9107,0.8383,1024.0000
0.2627,0.8928,0.8849,1024.0000
0.2637,0.8736,0.9237,1024.0000
0.2646,0.8532,0.9547,1024.0000
0.2656,0.8317,0.9777,1024.0000
0.2666,0.8091,0.9928,1024.0000
0.2676,0.7857,0.9999,1024.0000
0.2686,0.7615,0.9993,1024.0000
0.2695,0.7367,0.9913,1024.0000
0.2705,0.7113,0.9761,1024.0000
0.2715,0.6854,0.9541,1024.0000
0.2725,0.6593,0.9259,1024.0000
0.2734,0.6329,0.8919,1024.0000
0.2744,0.6064,0.8527,1024.0000
0.2754,0.5800,0.8089,1024.0000
0.2764,0.5536,0.7610,1024.0000
0.2773,0.5274,0.7098,1024.0000
0.2783,0.5015,0.6558,1024.0000
0.2793,0.4760,0.5997,1024.0000
0.2803,0.4509,0.5422,1024.0000
0.2812,0.4263,0.4837,1024.0000
0.2822,0.4023,0.4250,1024.0000
0.2832,0.3789,0.3666,1024.0000
0.2842,0.3562,0.3091,1024.0000
0.2852,0.3342,0.2528,1024.0000
0.2861,0.3130,0.1982,1024.0000
0.2871,0.2925,0.1458,1024.0000
0.2881,0.2729,0.0958,1024.0000
0.2891,0.2541,0.0487,1024.0000
0.2900,0.2362,0.0068,1024.0000
0.2910,0.2191,0.0373,1024.0000
0.2920,0.2028,0.0748,1024.0000
0.2930,0.1874,0.1091,1024.0000
0.2939,0.1729,0.1399,1024.0000
0.2949,0.1592,0.1672,1024.0000
0.2959,0.1462,0.1911,1024.0000
0.2969,0.1341,0.2117,1024.0000
0.2979,0.1227,0.2289,1024.0000
0.2988,0.1121,0.2430,1024.0000
0.2998,0.1022,0.2540,1024.0000
0.3008,0.0931,0.2623,1024.0000
0.3018,0.0845,0.2678,1024.0000
0.3027,0.0766,0.2709,1024.0000
0.3037,0.0693,0.2717,1024.0000
0.3047,0.0626,0.2705,1024.0000
0.3057,0.0565,0.2675,1024.0000
0.3066,0.0508,0.2628,1024.0000
0.3076,0.0456,0.2567,1024.0000
0.3086,0.0409,0.2494,1024.0000
0.3096,0.0366,0.2410,1024.0000
0.3105,0.0327,0.2319,1024.0000
0.3115,0.0291,0.2220,1024.0000
0.3125,0.0259,0.2117,1024.0000
0.3135,0.0230,0.2010,1024.0000
0.3145,0.0204,0.1900,1024.0000
0.3154,0.0180,0.1790,1024.0000
0.3164,0.0159,0.1680,1024.0000
0.3174,0.0140,0.1571,1024.0000
0.3184,0.0123,0.1464,1024.0000
0.3193,0.0108,0.1359,1024.0000
0.3203,0.0095,0.1258,1024.0000
0.3213,0.0083,0.1161,1024.0000
0.3223,0.0072,0.1068,1024.0000
0.3232,0.0063,0.0979,1024.0000
0.3242,0.0055,0.0895,1024.0000
0.3252,0.0048,0.0815,1024.0000
0.3262,0.0041,0.0741,1024.0000
0.3271,0.0036,0.0671,1024.0000
0.3281,0.0031,0.0607,1024.0000
0.3291,0.0026,0.0546,1024.0000
0.3301,0.0023,0.0491,1024.0000
0.3311,0.0019,0.0440,1024.0000
0.3320,0.0017,0.0393,1024.0000
0.3330,0.0014,0.0350,1024.0000
0.3340,0.0012,0.0311,1024.0000
0.3350,0.0010,0.0276,1024.0000
0.3359,0.0009,0.0244,1024.0000
0.3369,0.0007,0.0215,1024.0000
0.3379,0.0006,0.0189,1024.0000
0.3389,0.0005,0.0166,1024.0000
0.3398,0.0005,0.0146,1024.0000
0.3408,0.0004,0.0127,1024.0000
0.3418,0.0003,0.0111,1024.0000
0.3428,0.0003,0.0096,1024.0000
0.3438,0.0002,0.0083,1024.0000
0.3447,0.0002,0.0072,1024.0000
0.3457,0.0002,0.0062,1024.0000
0.3467,0.0001,0.0054,1024.0000
0.3477,0.0001,0.0046,1024.0000
0.3486,0.0001,0.0039,1024.0000
0.3496,0.0001,0.0034,1024.0000
0.3506,0.0001,0.0029,1024.0000
0.3516,0.0001,0.0024,1024.0000
0.3525,0.0000,0.0021,1024.0000
0.3535,0.0000,0.0018,1024.0000
0.3545,0.0000,0.0015,1024.0000
0.3555,0.0000,0.0013,1024.0000
0.3564,0.0000,0.0011,1024.0000
0.3574,0.0000,0.0009,1024.0000
0.3584,0.0000,0.0007,1024.0000
0.3594,0.0000,0.0006,1024.0000
0.3604,0.0000,0.0005,1024.0000
0.3613,0.0000,0.0004,1024.0000
0.3623,0.0000,0.0004,1024.0000
0.3633,0.0000,0.0003,1024.0000
0.3643,0.0000,0.0002,1024.0000
0.3652,0.0000,0.0002,1024.0000
0.3662,0.0000,0.0002,1024.0000
0.3672,0.0000,0.0001,1024.0000
0.3682,0.0000,0.0001,1024.0000
0.3691,0.0000,0.0001,1024.0000
